Constraint Category,Count
Substantial Contribution to Climate Adaptation & DNSH,11
DNSH Circular Economy,10
DNSH Pollution Prevention and Control,10
DNSH Sustainable use and protection of water and marine resources,5
DNSH Biodiversity,4
Substantial Contribution to Climate Mitigation,3
Substantial Contribution to Climate Adaptation,2
